,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
317,328,A1VFSNVFK883XU,20-29,Female,No,4,White,10+,none,50+,
318,329,A1S0S8EIJCSEKH,50-59,Female,No,4,White,1-10,none,11-50,
319,330,AXI085WZ89QSY,30-39,Male,Yes,4,White,10+,1-10,11-50,INDIA
320,331,A2JQHU5Z78LXYS,20-29,Female,No,4,Asian,1-10,30+,11-50,"Was adopted, lived in China at 1 year old."
321,332,A197KLY88OBJ89,30-39,Male,No,4,White,none,none,1-10,
322,333,AL8KOIH1DJ7D9,30-39,Male,No,4,White,none,none,50+,
323,334,A2BTDUJFLSBN8E,30-39,Male,No,4,White,1-10,none,11-50,
324,335,A147QJNRYI5GM2,20-29,Female,No,4,White,1-10,none,1-10,
325,336,A2DDOEOO1D99X4,40-49,Female,No,4,White,none,none,1-10,
326,337,AXTFSJDN2YLO5,40-49,Female,No,4,White,10+,none,11-50,
327,338,A3FJQ44XU9CYZ0,30-39,Male,No,4,White,10+,30+,50+,Israel
328,339,AG6USH7SFSBW6,20-29,Male,No,4,Asian,1-10,11-30,1-10,korea
329,340,A9X5U6W076JBF,30-39,Male,No,4,Asian,10+,none,11-50,
330,341,A22BZ9OEJZWA46,20-29,Male,No,4,White,none,none,1-10,
331,342,AIH52PKZECGHW,20-29,Male,No,4,White,10+,none,11-50,
332,343,A1WTE9NLVNVI4B,40-49,Male,No,4,White,1-10,none,11-50,
333,344,A2ZKOVAQPEK6CB,40-49,Female,No,4,White,1-10,none,11-50,Tokyo
334,345,A1HFG6A4LQWW3J,50-59,Male,No,4,White,10+,1-10,50+,Japan
335,346,A1O2FMGJH5D9CL,30-39,Female,Yes,4,White,1-10,none,50+,
336,347,A3IWH2JMJLX61P,Under 20,Female,No,4,Asian,1-10,30+,50+,Philippines
337,348,A7Y57LYUL8SPF,40-49,Male,No,4,White,10+,none,50+,
338,349,A3L2VS3998R77L,50-59,Female,No,4,White,1-10,none,50+,
339,350,A3FIRNADV3DR7G,20-29,Female,Yes,4,White,1-10,1-10,1-10,none
340,351,A19BX6NQ3VU1L4,20-29,Female,No,4,White,10+,none,1-10,
341,352,A3L2VS3998R77L,50-59,Female,No,4,White,1-10,none,50+,
342,353,AKGWAGSXMUXYN,30-39,Male,Yes,4,White,1-10,11-30,1-10,
343,354,A1GVYL7W1EFY8K,30-39,Male,Yes,4,White,1-10,1-10,1-10,JAPAN
344,355,A2LU3PBECQTG81,50-59,Female,No,4,White,1-10,none,11-50,
345,356,A119PBWADR1P90,40-49,Female,No,4,Black,1-10,none,11-50,
346,357,A3LOPPGNIOOLLT,40-49,Male,No,4,Black,1-10,none,1-10,
347,358,A1UWUVHIHMKA5O,60+,Male,No,4,White,10+,none,50+,
348,359,A2MA3BNIFFRXIK,40-49,Male,No,4,White,10+,none,50+,
349,360,A4ECX41HS9RWX,30-39,Female,Yes,4,Black,1-10,none,1-10,
350,361,AGA7W15RFQ77M,50-59,Male,No,4,White,none,none,1-10,
351,362,ASP32QB28TEZU,60+,Female,No,4,White,10+,none,1-10,
352,363,A2F3SIHW1XW1F8,Under 20,Male,Yes,3,Black,1-10,11-30,none,None
353,364,A22D47BPISVGL7,40-49,Male,No,4,White,1-10,none,11-50,Japan 
354,365,A3QNCW3LR2AVOV,50-59,Male,No,4,White,1-10,none,50+,
355,366,AU6ZURVHX4KPT,50-59,Male,Yes,4,White,1-10,30+,50+,"Okinawa, Japan"
356,367,A1OWD5ZK1MLAIF,20-29,Female,No,4,White,1-10,none,50+,
357,368,A2JZOI61DOS2I5,40-49,Female,No,4,White,1-10,none,11-50,
358,369,A3V5BXNCYK54W3,40-49,Male,No,4,White,1-10,none,11-50,
359,370,A8NXHYOJH772K,20-29,Male,No,4,White,10+,none,11-50,
360,371,A1D4I1QYL9713I,50-59,Female,No,4,White,1-10,1-10,1-10,JAPAN
361,372,ACCDF2G1UEKUV,30-39,Male,No,4,Black,1-10,none,11-50,
362,373,A2MPOAEQ25ZJAD,50-59,Male,No,4,White,none,none,1-10,
363,374,A2IORQMTZHENL6,50-59,Female,No,4,White,none,none,1-10,
364,375,A23LH0S26G0KSP,50-59,Female,No,4,White,1-10,none,1-10,
365,376,A2XYW90JQ39YQI,20-29,Male,No,4,White,none,none,11-50,
366,377,A1C3WRG3PTML7C,60+,Female,No,4,White,1-10,none,50+,
367,378,A10Z9AAVOAKG1N,20-29,Female,No,4,White,10+,none,50+,
368,379,A3SFV68RGRZ4IZ,30-39,Female,No,4,White,1-10,none,11-50,
369,380,A255LLTBJM2NVR,20-29,Female,No,4,White,1-10,1-10,1-10,
370,381,A1UCJTLD77DSVI,30-39,Female,No,4,White,none,none,50+,
371,382,A3JM3E54N61L0S,20-29,Male,Yes,4,White,1-10,11-30,1-10,japan and china
372,383,A3JM3E54N61L0S,30-39,Male,Yes,4,White,1-10,1-10,1-10,japan and china
373,384,A38SK7TKJ58A61,30-39,Female,No,4,White,1-10,none,50+,
374,385,A2UVXSAFUPUT9U,20-29,Female,No,4,White,1-10,none,1-10,
375,386,A35ZRGM4AQ6FF5,20-29,Male,No,4,White,10+,none,1-10,
376,387,A1QQV98XIGKHG2,30-39,Male,Yes,4,White,1-10,none,1-10,
377,388,AQS16PVI05S68,30-39,Male,No,4,White,10+,1-10,50+,Japan
378,389,A35ZRGM4AQ6FF5,20-29,Male,No,4,White,10+,none,1-10,
379,390,A9BMIKFN0XHYH,20-29,Female,No,4,White,none,none,1-10,
380,391,A3EV5WBFUU2A3I,30-39,Male,No,4,White,1-10,none,11-50,
381,392,A2W6MU1G233B4C,20-29,Male,No,4,White,1-10,1-10,50+,Saudi Arabia
